league_name,website,discovery_status,clubs_found_count
Optimist Youth Football Boise,https://optimistyouthfootball.com,fetch_not_attempted,0
Idaho Youth Football League (IYFL),https://idahoyouthfootballleague.com,fetch_not_attempted,0
Meridian PAL Flag Football,https://www.meridianpal.org,fetch_not_attempted,0
Northern Illinois Youth Flag Football League (NIYFFL),https://www.niyflagfootball.org,fetch_not_attempted,0
Chicagoland Youth Football League (TCYFL),https://www.tcyfl.net,fetch_not_attempted,0
Junior Football League of Central Illinois (JFLOCI),https://www.jfloci.com,fetch_not_attempted,0
Indianapolis Colts Flag Football Network,https://www.colts.com/footballdevelopment/flag/flag-network,fetch_not_attempted,0
YMCA Greater Des Moines Flag Football,http://m.dmymca.org/sports-activities/flag-football,fetch_not_attempted,0
NFL FLAG Wichita,https://www.wichita.gov/455/NFL-FLAG-Wichita,fetch_not_attempted,0
YMCA Greater Kansas City Chiefs FLAG,https://kansascityymca.org/programs/youth-sports/chiefs,fetch_not_attempted,0
Boys & Girls Clubs Greater KC Flag Football,https://www.bgc-gkc.org/sports/flagfootball,fetch_not_attempted,0
The Gridiron C.R.I.B.,https://www.thegridironcrib.com,fetch_not_attempted,0
YMCA Greater Louisville Flag Football,https://www.ymcalouisville.org/programs/youth-sports/flag-football,fetch_not_attempted,0
Fern Creek Optimist NFL Flag,https://www.ferncreekoptimist.org,fetch_not_attempted,0
YMCA Central Kentucky,https://ymcacky.org,fetch_not_attempted,0
Northern Kentucky Youth Football League (NKYFL),https://www.nkyfl.net,fetch_not_attempted,0
Southern Maryland Youth Flag Football League (SMYFFL),https://www.smyffl.com,fetch_not_attempted,0
St. Mary's County Youth Sports NFL Flag,https://smcys.org,fetch_not_attempted,0
NFL FLAG Baltimore Ravens,https://www.baltimoreravens.com/fans/rise/nflflag/,fetch_not_attempted,0
Newton Area Flag Football League (NAFFL),https://www.newtonareaflagfootball.com,fetch_not_attempted,0
Hill House Boston NFL Flag Football,https://www.hillhouseboston.org,fetch_not_attempted,0
Western Mass Youth Flag Football,https://www.westernmassyouthflagfootball.com,fetch_not_attempted,0
Leominster NFL FLAG,https://www.leominsterflag.com,fetch_not_attempted,0
NFL FLAG Michigan,https://www.michiganyouthflagfootball.com,fetch_not_attempted,0
Michigan Made Youth Flag Football,https://www.michiganmade.net/youthflag,fetch_not_attempted,0
National Flag Football NFF Michigan,https://www.nationalflagfootball.com,fetch_not_attempted,0
Minnesota Vikings Community Flag Football,https://www.vikings.com/community/youth-football/nfl-flag/,fetch_not_attempted,0
Mississippi Gulf Coast YMCA Flag Football,https://www.mgcymca.org,fetch_not_attempted,0
New Mexico Young America Football League (NMYAFL),https://nmyafl.org,fetch_not_attempted,0
NFL Flag New Mexico,https://www.nflflag-nm.com,fetch_not_attempted,0
NYC Police Athletic League (PAL) Flag Football,https://palnyc.org/flag-football,fetch_not_attempted,0
Downtown Giants Youth Sports,https://downtowngiants.com,fetch_not_attempted,0
Long Island Flag Football League (LIFFL),https://liffl.com,fetch_not_attempted,0
Mad Dog NFL Flag Football (Westchester),https://www.maddognflflag.com,fetch_not_attempted,0
Carolina United Flag Football Club,https://cuflag.org,fetch_not_attempted,0
Triangle Flag Football League,https://triangleflag.com,fetch_not_attempted,0
Garner Sports League (GSL) Flag Football,https://garnerfootball.com,fetch_not_attempted,0
Charlotte Premier Sports League,https://www.charlottepremiersports.com,fetch_not_attempted,0
National Flag Football (NFF) Ohio,https://www.nationalflagfootball.com,fetch_not_attempted,0
Titans NFL FLAG,https://www.titansflagfootball.com,fetch_not_attempted,0
Murfreesboro Football League Flag Division,https://www.murfreesborotn.gov/474/Flag-Football,fetch_not_attempted,0
South Dakota Junior Football (SDJRFB),https://www.sdjrfb.com,fetch_not_attempted,0
