priority_rank,org_name,website,state,league_affiliation,revenue_estimate_modelled,revenue_990_sourced,revenue_990_filing_year,business_type_sourced,ein_sourced,head_name_sourced,email_sourced,instagram_sourced,missing_high_value_fields,suggested_action
1,i9 Sports,https://www.i9sports.com,National,,150000000,,,,,,,,"revenue_990, head_name, email",Confirm business type; for-profits rarely file public revenue; Visit website / LinkedIn for director name; Visit website contact page for email
2,Unrivaled Sports / Unrivaled Flag,https://unrivaledflag.com,National,,45000000,,,,,,,,"revenue_990, head_name, email",Confirm business type; for-profits rarely file public revenue; Visit website / LinkedIn for director name; Visit website contact page for email
3,Under the Lights Flag Football (Unrivaled),https://www.uaflag.com,National,,12000000,,,,,,,,"revenue_990, head_name, email",Confirm business type; for-profits rarely file public revenue; Visit website / LinkedIn for director name; Visit website contact page for email
4,Next Level Flag Football,https://www.nextlevelsports.com,15 states,,8000000,,,,,,,,"revenue_990, head_name, email",Confirm business type; for-profits rarely file public revenue; Visit website / LinkedIn for director name; Visit website contact page for email
5,Football N America / FNA (Drew Brees),https://playfna.com,CA/LA/TX,,3500000,,,,,,,,"revenue_990, head_name, email",Confirm business type; for-profits rarely file public revenue; Visit website / LinkedIn for director name; Visit website contact page for email
